Usuario,Texto,Fecha,Num.Retweets,Num.Favoritos
GonzalezBready, | URGENTE - #CORONAVIRUS: Ascienden a 375 infectados en #CostaRica. ,Wed Apr 01 19:06:17 +0000 2020,0,0
marcelacanterov,"Los Obispos de #CostaRica ya anunciaron sus medidas para las celebraciones de la #SemanaSanta, cuidando la salud de todos, acá, el detalle. #coronavirus #COVIDー19",Wed Apr 01 19:05:51 +0000 2020,0,1
Noticias_crc,"Hay quince personas hospitalizadas, nueve en cuidados intensivos. #coronavirus #CostaRica ",Wed Apr 01 19:03:10 +0000 2020,0,0
__Ponderosa__,"Uso de mascarillas, tema clave junto al uso de lentes de protección y el simple detalle de dejar los zapatos fuera de casa #coronavirus #CostaRica #COVIDー19 @msaludcr @CCSSdeCostaRica @CarlosAlvQ",Wed Apr 01 18:59:52 +0000 2020,0,0
thepalmsvillas,#costarica #givingback #covid19 #coronavirus #playaflamingo #CRMMH #costaricamakesmehappy #dontcancelpostpone,Wed Apr 01 18:28:59 +0000 2020,0,0
ObregnX,It is coming !!! #invierno #lluvia #epocareproducción #naturaleza #costarica #coronavirus en Costa Rica https://www.instagram.com/p/B-cmjVwDRCE/?igshid=c104e7ksvs1e,Wed Apr 01 17:38:51 +0000 2020,0,0
Amilcaratb,Información Actualizada Latinoamérica 01/04/2020 15:00h Canarias #coronavirus #casos #Latinoamerica #COVID19 #Brasil #Ecuador #Chile #Perú #México #Panamá #Colombia #Argentina #Dominicana #Uruguay #CostaRica #Venezuela #Cuba #Bolivia #Honduras #Paraguay #Guatemala #Nicaragua,Wed Apr 01 14:28:02 +0000 2020,6,10
YairNoaj,. https://youtu.be/WSjBbnjSS9Q #Saqueos en #Honduras ante el #pánico X COVID-19 #Coronavirus #Argentina #Bolivia #Brasil #Chile #Colombia #CostaRica #Cuba #Ecuador #ElSalvador #Guatemala #Honduras #México #Nicaragua #Paraguay #Panamá #Perú #RepúblicaDominicana #Uruguay #Venezuela,Wed Apr 01 14:02:37 +0000 2020,1,0
luisjoseph326,"Para que pasen mejor la cuarentena aquí les dejo algunas fotografías... _____________________________________ #naranjo #costarica #coronavirus #cuarentena en Naranjo, Alajuela, Costa Rica https://www.instagram.com/p/B-bd0yeFx6t/?igshid=avvdf40ch584",Wed Apr 01 07:02:50 +0000 2020,0,0
IPMasticard,#ULTIMAHORA #URGENTE A todas las #Empresas a nivel mundial que tengan tecnologías para combatir al #COVID19 #coronavirus DEBEN TENER CUIDADO si hacen trato con #CostaRica porque NO RESPETA el Derecho #IP™ y su Marca® puede ser USURPADA #OMPI @WIPO #EEUU #ONU @FiscaliaCR 4,Wed Apr 01 06:57:58 +0000 2020,0,0
IPMasticard,Cómo sienten la conciencia los Accionistas de #FIFCO en #CostaRica y la Emilia Navas @FiscaliaCR cada vez que se toman una #pepsi ó al comer un #tacobell ? les remorderá el alma por haber usurpado y violentado los #DDHH de #MastiCard™ @FIFCOCR #COVID19 #coronavirus 0007,Wed Apr 01 06:57:18 +0000 2020,0,0
IPMasticard,@FIFCOCR @pepsi por aquí esperando la debida compensación por los años que USURPARON la Marca® #MastiCard™ #IP en las sodas @tacobell en #CostaRica #FIFCO #COVID19 #pepsi #tacobell #Coronavirus @SecPompeo #EEUU #OMPI @FiscaliaCR @asambleacr @presidenciacr 000063,Wed Apr 01 06:56:34 +0000 2020,0,0
oli3be,"""Low"" CFR : #Latvia: 0% #Vietnam: 0% #Qatar: 0.1% #NZ: 0.2% #Iceland: 0.2% #Uruguay: 0.3% #Singapore: 0.3% #SAfrica: 0.4% #Israel: 0.4% #Australia: 0.4% #Chile: 0.4% #UAE: 0.5% #HK: 0.6% #Senegal: 0.6% #CostaRica: 0.6% #Saudi: 0.6% #Russia: 0.7% #COVID19 #Coronavirus ",Wed Apr 01 06:54:16 +0000 2020,2,2
