tweet_id,usuario_id
1,673
3,4993
18,863
2257,863
19,4371
825,4371
1524,4371
1865,4371
2317,4371
2416,4371
2957,4371
5430,4371
22,3589
3134,3589
6596,3589
22,3034
179,3034
416,3034
879,3034
1972,3034
2289,3034
2328,3034
2423,3034
2472,3034
2494,3034
2497,3034
2566,3034
3051,3034
4071,3034
4075,3034
4238,3034
4434,3034
4795,3034
4841,3034
4842,3034
4992,3034
5154,3034
5172,3034
5190,3034
5192,3034
5216,3034
5224,3034
5422,3034
5424,3034
5747,3034
6076,3034
6492,3034
7034,3034
7352,3034
7570,3034
8452,3034
8526,3034
9882,3034
10410,3034
10554,3034
10975,3034
22,479
170,479
416,479
494,479
726,479
944,479
1476,479
1956,479
2683,479
2713,479
2827,479
3058,479
3588,479
3620,479
3877,479
3956,479
4055,479
4142,479
4409,479
4522,479
4842,479
5078,479
5136,479
5263,479
5270,479
5310,479
5482,479
5562,479
5588,479
5598,479
5799,479
5891,479
6152,479
6164,479
6245,479
6260,479
6492,479
7890,479
9056,479
9329,479
9483,479
9680,479
9808,479
9993,479
10054,479
10068,479
10136,479
10180,479
10204,479
10968,479
11154,479
11173,479
11294,479
11312,479
11321,479
11326,479
11336,479
11346,479
11347,479
11351,479
11543,479
11581,479
11613,479
22,1981
3134,1981
6596,1981
22,5003
7374,5003
22,7126
3663,7126
6596,7126
22,3893
22,719
22,3397
7723,3397
22,3447
22,5214
22,4737
22,5240
23,5526
35,6456
35,7329
35,2200
37,6806
383,6806
388,6806
494,6806
747,6806
1024,6806
1062,6806
1236,6806
1951,6806
2262,6806
2962,6806
3019,6806
3413,6806
4505,6806
4600,6806
4808,6806
5096,6806
5184,6806
5231,6806
5234,6806
5356,6806
5389,6806
5425,6806
5560,6806
5561,6806
5581,6806
5622,6806
5784,6806
6216,6806
7875,6806
8178,6806
9040,6806
9534,6806
10308,6806
10716,6806
39,1988
39,4150
39,5131
39,178
42,3050
4540,3050
42,4511
44,2953
59,4207
60,5368
78,5368
309,5368
555,5368
765,5368
830,5368
975,5368
1021,5368
1025,5368
1469,5368
1645,5368
2909,5368
2937,5368
2952,5368
3106,5368
3248,5368
3287,5368
3382,5368
3511,5368
3512,5368
4012,5368
4129,5368
5023,5368
5138,5368
5148,5368
5487,5368
5655,5368
5756,5368
5794,5368
6120,5368
6269,5368
7175,5368
7200,5368
7455,5368
7833,5368
7932,5368
8311,5368
9776,5368
9862,5368
9960,5368
10999,5368
11248,5368
66,5456
437,5456
455,5456
569,5456
1489,5456
4136,5456
4171,5456
4187,5456
