tweet_id,usuario_id
1,2674
551,2674
1163,2674
1296,2674
1645,2674
2475,2674
2599,2674
2605,2674
2761,2674
3905,2674
4228,2674
4234,2674
2,4575
3,7679
4,3053
300,3053
456,3053
516,3053
548,3053
1090,3053
1562,3053
1594,3053
1648,3053
1805,3053
1958,3053
3381,3053
3461,3053
3641,3053
3870,3053
3966,3053
4028,3053
4338,3053
4730,3053
4854,3053
6484,3053
6639,3053
11394,3053
12029,3053
12437,3053
12478,3053
12483,3053
5,1299
301,1299
455,1299
1274,1299
1301,1299
1595,1299
1649,1299
1719,1299
1804,1299
1959,1299
2700,1299
3460,1299
3642,1299
3770,1299
3871,1299
3965,1299
4027,1299
4339,1299
4388,1299
4643,1299
4729,1299
4853,1299
5395,1299
5478,1299
6483,1299
6640,1299
8597,1299
8839,1299
9748,1299
10731,1299
12028,1299
12477,1299
6,6225
7,6960
9,6960
8,214
10,1052
2187,1052
2188,1052
5104,1052
5839,1052
9096,1052
9643,1052
11,7278
12,1147
105,1147
356,1147
451,1147
567,1147
576,1147
618,1147
1148,1147
1377,1147
1401,1147
1486,1147
1596,1147
1993,1147
2013,1147
2179,1147
2190,1147
2530,1147
2895,1147
3084,1147
3239,1147
5031,1147
7128,1147
7563,1147
7623,1147
8364,1147
9674,1147
10687,1147
10704,1147
10892,1147
13,3243
1880,3243
2590,3243
3132,3243
3661,3243
14,487
3209,487
5842,487
15,2962
16,6623
10504,6623
10917,6623
11332,6623
11398,6623
11437,6623
11468,6623
11491,6623
11507,6623
11518,6623
11550,6623
11607,6623
11713,6623
17,3708
5853,3708
18,6569
1338,6569
3213,6569
5861,6569
19,906
354,906
494,906
496,906
1157,906
2720,906
4373,906
5013,906
5935,906
7410,906
8125,906
8815,906
10260,906
10383,906
20,461
21,7906
2699,7906
22,1526
23,3250
115,3250
250,3250
859,3250
943,3250
1038,3250
1230,3250
1549,3250
1720,3250
2377,3250
2728,3250
3058,3250
4208,3250
4483,3250
5179,3250
5962,3250
6325,3250
7681,3250
9309,3250
10636,3250
24,7886
110,7886
1489,7886
1844,7886
2257,7886
2487,7886
3092,7886
3469,7886
4042,7886
4198,7886
5324,7886
5993,7886
6607,7886
12018,7886
25,5597
26,3406
44,3406
49,3406
107,3406
113,3406
130,3406
150,3406
197,3406
206,3406
216,3406
217,3406
272,3406
278,3406
374,3406
388,3406
394,3406
429,3406
526,3406
529,3406
649,3406
657,3406
671,3406
673,3406
742,3406
772,3406
